"SATISFIED ORDERS","Order Id","PC Product Id","Quantity","Profit","Discount","Net Profit"
"",166,2,19,15390,1744.2
"",246,4,14,11130,1446.9
"",212,1,10,7875,911.25
"",211,2,30,22950,2713.5
"",196,14,26,23712,2934.36
"",276,7,30,30195,3650.85
"",181,13,15,12397.5,1654.42
"",226,5,6,4788,656.64
"",288,4,23,15237.5,2285.62
"",197,2,5,3262.5,435.375
"",283,5,8,6156,868.68
"",225,7,19,16805.5,2242.66
"",300,6,17,12597,1831.41
"",237,1,23,12937.5,1940.62
"",299,3,22,14553,2053.59
"",210,7,29,22112.5,3316.88
"TOTALS","","",2.47524e+06,159120,40342.9
